City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.23,overcast clouds,-23.1203,-134.9692,People ThankYou
1,Butaritari,KI,82.38,light rain,3.0707,172.7902,Isles Sunset Lodge
2,Vaini,TO,81.48,overcast clouds,-21.2,-175.2,Keleti Beach Resort
3,Mar Del Plata,AR,82.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
4,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Atuona,PF,77.63,few clouds,-9.8,-139.0333,Villa Enata
6,Alofi,NU,81.7,broken clouds,-19.0595,-169.9187,Taloa Heights
7,Cabo San Lucas,MX,79.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
8,Isangel,VU,77.11,heavy intensity rain,-19.55,169.2667,Tanna Lodge
9,Buala,SB,82.17,light rain,-8.145,159.5921,Maringe Lagoon Lodge
10,Palembang,ID,77.09,haze,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
11,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
12,San Pedro De Macoris,DO,82.53,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
13,Saquarema,BR,77.02,broken clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
14,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
15,Santiago,CL,79.29,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
16,Lazaro Cardenas,MX,82.81,clear sky,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
17,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
18,Arraial Do Cabo,BR,75.27,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
19,Faanui,PF,80.22,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
20,Kieta,PG,79.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
21,Finschhafen,PG,80.29,light rain,-6.6024,147.8681,Cossam Guest House
22,Georgetown,MY,81.9,mist,5.4112,100.3354,Cititel Penang
23,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
24,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Meulaboh,ID,77.02,broken clouds,4.1363,96.1285,Kost Pria
26,Sumbe,AO,77.95,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
27,Hithadhoo,MV,80.71,overcast clouds,-0.6,73.0833,Scoop Guest House
28,Fare,PF,80.55,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
29,Sao Gabriel Da Cachoeira,BR,82.9,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
30,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
31,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Sunset Inn
32,Puerto Baquerizo Moreno,EC,79.79,few clouds,-0.9,-89.6,Hotel los Algarrobos
33,Bandarbeyla,SO,75.76,overcast clouds,9.4942,50.8122,JABIR HOTEL
34,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Kutoarjo,ID,76.89,overcast clouds,-7.7169,109.9128,Massagus Hotel
36,Hambantota,LK,77.95,broken clouds,6.1241,81.1185,Bungalow 63
37,Chimbarongo,CL,79.18,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
38,Bengkulu,ID,75.76,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
39,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
40,Saint-Pierre,RE,76.64,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
41,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
42,Mataram,ID,77.81,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
43,Mackay,AU,78.67,few clouds,-21.15,149.2,International Lodge Motel
44,Noumea,NC,82.38,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
45,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,ibis Balikpapan
46,Quatre Cocos,MU,78.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
47,Kasangulu,CD,77.94,broken clouds,-4.5911,15.1708,Hôtel le Relais
48,Alyangula,AU,82.27,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
49,Maumere,ID,79.47,overcast clouds,-8.6199,122.2111,Sylvia Hotel
50,Saint-Philippe,RE,76.55,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
52,Buchanan,LR,78.76,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
53,Majene,ID,77.61,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
54,Sabang,ID,81.95,broken clouds,5.8933,95.3214,Hotel Citra
55,Vao,NC,78.87,moderate rain,-22.6667,167.4833,Hotel Kou-Bugny
56,Byron Bay,AU,78.87,broken clouds,-28.65,153.6167,Backpackers Inn
57,Cordoba,AR,82.6,few clouds,-31.4135,-64.1811,Hotel Sussex
58,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,Hotel Fórum
59,Mitsamiouli,KM,80.6,broken clouds,-11.3847,43.2844,Foyer ADM
60,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
61,Bintulu,MY,77.41,few clouds,3.1667,113.0333,900 Boutique INN
62,Balabac,PH,78.96,broken clouds,7.9868,117.0645,Sing and Swing Lodge
63,Carutapera,BR,75.0,moderate rain,-1.195,-46.02,Lidera
64,Inhambane,MZ,76.15,overcast clouds,-23.865,35.3833,Oceano
65,Belmonte,BR,79.3,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
66,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
67,Bariri,BR,77.25,overcast clouds,-22.0744,-48.7403,San Francisco Hotel
68,Axim,GH,79.59,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
69,Rawson,AR,81.68,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
70,Salinopolis,BR,75.43,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
71,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
72,Broken Hill,AU,78.51,few clouds,-31.95,141.4333,Royal Exchange Hotel
73,Sinjai,ID,75.87,overcast clouds,-5.1241,120.253,Wisma Sandika
74,Bondoukou,CI,79.74,few clouds,8.0333,-2.8,Prestige Hotel
75,Hobyo,SO,76.57,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
76,Mercedes,AR,82.76,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
77,Mareeba,AU,75.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
78,Karratha,AU,81.14,broken clouds,-20.7377,116.8463,ibis Styles Karratha
79,Sao Joao Da Barra,BR,77.04,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
80,Morondava,MG,80.8,clear sky,-20.2833,44.2833,La Case Bambou
81,Waiuku,NZ,77.99,clear sky,-37.25,174.75,Waiuku Lodge Motel
82,Iseyin,NG,79.2,overcast clouds,7.9667,3.6,Momak Hotels And Suites
83,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
84,Cairns,AU,80.55,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
85,Ternate,ID,78.85,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
86,Maryborough,AU,81.1,scattered clouds,-25.5333,152.7,Blue Shades Motel
87,Neiafu,TO,82.56,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
88,Nelson Bay,AU,80.1,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
89,Nabire,ID,75.54,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
90,Batemans Bay,AU,76.19,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
91,Ballina,AU,77.18,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
92,Dicabisagan,PH,75.96,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
93,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
94,Dingle,PH,76.32,few clouds,10.9995,122.6711,SEGAYA PROPERTY
95,Ambulu,ID,76.66,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
96,Saint-Joseph,RE,75.56,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
97,Padang,ID,76.55,broken clouds,-0.9492,100.3543,Mercure Padang
98,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
99,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
100,Santa Rosa,PH,80.11,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
101,Hoi An,VN,75.16,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
102,Tual,ID,82.42,light rain,-5.6667,132.75,Grand Vilia Hotel
103,Montevideo,UY,77.83,clear sky,-34.8335,-56.1674,KOLPING Hotel
104,Santa Maria,BR,76.3,few clouds,-29.6842,-53.8069,Hotel Morotin
105,Natal,BR,79.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
106,Ewa Beach,US,80.6,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
107,Baki,ID,75.61,overcast clouds,-7.6128,110.7839,Rumah Batu Boutique Hotel
108,Biak,ID,77.76,overcast clouds,-0.9131,122.8766,Penginapan Kim
